Student ID,Question ID,Knowledge Component,Knowledge Components,Difficulty,Response,Answer,Status,literal_number_correct,literal_number_incorrect,inferential_number_correct,inferential_number_incorrect,critical_number_correct,critical_number_incorrect
0,0,literal,"[1, 0, 0]",8.281581293595435,C,D,0,0,0,0,0,0,0
0,1,inferential,"[0, 1, 0]",8.930296569606336,C,B,0,0,1,0,0,0,0
0,2,inferential,"[0, 1, 0]",9.418657000508436,D,B,0,0,0,0,1,0,0
0,3,inferential,"[0, 1, 0]",8.986986090029994,B,C,0,0,0,0,2,0,0
0,4,inferential,"[0, 1, 0]",9.014710410853871,B,A,0,0,0,0,3,0,0
0,5,inferential,"[0, 1, 0]",9.40224051539958,A,A,1,0,0,0,4,0,0
0,6,literal,"[1, 0, 0]",8.599516274509805,A,B,0,0,0,1,4,0,0
0,7,critical,"[0, 0, 1]",9.381757705161776,C,D,0,0,1,0,0,0,0
0,8,inferential,"[0, 1, 0]",9.49525004529942,A,B,0,0,0,0,0,0,1
0,9,literal,"[1, 0, 0]",8.431689417989418,D,A,0,0,0,0,1,0,0
0,10,literal,"[1, 0, 0]",8.431689417989418,B,C,0,0,1,0,0,0,0
0,11,critical,"[0, 0, 1]",9.683797540643393,D,C,0,0,2,0,0,0,0
0,12,inferential,"[0, 1, 0]",9.617674180239577,C,D,0,0,0,0,0,0,1
0,13,literal,"[1, 0, 0]",9.809334489693313,A,A,1,0,0,0,1,0,0
0,14,literal,"[1, 0, 0]",9.809334489693313,B,B,1,1,0,0,0,0,0
0,15,critical,"[0, 0, 1]",10.601314473197025,A,B,0,2,0,0,0,0,0
0,16,critical,"[0, 0, 1]",9.534300459978933,C,C,1,0,0,0,0,0,1
0,17,critical,"[0, 0, 1]",9.476997295932037,B,C,0,0,0,0,0,1,1
0,18,critical,"[0, 0, 1]",9.817301953532693,D,B,0,0,0,0,0,1,2
0,19,inferential,"[0, 1, 0]",9.964473565718272,A,D,0,0,0,0,0,1,3
1,0,literal,"[1, 0, 0]",8.281581293595435,C,D,0,0,0,0,0,0,0
1,1,inferential,"[0, 1, 0]",8.930296569606336,A,B,0,0,1,0,0,0,0
1,2,inferential,"[0, 1, 0]",9.418657000508436,D,B,0,0,0,0,1,0,0
1,3,inferential,"[0, 1, 0]",8.986986090029994,A,C,0,0,0,0,2,0,0
1,4,inferential,"[0, 1, 0]",9.014710410853871,B,A,0,0,0,0,3,0,0
1,5,inferential,"[0, 1, 0]",9.40224051539958,D,A,0,0,0,0,4,0,0
1,6,literal,"[1, 0, 0]",8.599516274509805,C,B,0,0,0,0,5,0,0
1,7,critical,"[0, 0, 1]",9.381757705161776,,D,0,0,1,0,0,0,0
1,8,inferential,"[0, 1, 0]",9.49525004529942,C,B,0,0,0,0,0,0,1
1,9,literal,"[1, 0, 0]",8.431689417989418,B,A,0,0,0,0,1,0,0
1,10,literal,"[1, 0, 0]",8.431689417989418,D,C,0,0,1,0,0,0,0
1,11,critical,"[0, 0, 1]",9.683797540643393,A,C,0,0,2,0,0,0,0
1,12,inferential,"[0, 1, 0]",9.617674180239577,A,D,0,0,0,0,0,0,1
1,13,literal,"[1, 0, 0]",9.809334489693313,C,A,0,0,0,0,1,0,0
1,14,literal,"[1, 0, 0]",9.809334489693313,D,B,0,0,1,0,0,0,0
1,15,critical,"[0, 0, 1]",10.601314473197025,B,B,1,0,2,0,0,0,0
1,16,critical,"[0, 0, 1]",9.534300459978933,C,C,1,0,0,0,0,1,0
1,17,critical,"[0, 0, 1]",9.476997295932037,A,C,0,0,0,0,0,2,0
1,18,critical,"[0, 0, 1]",9.817301953532693,D,B,0,0,0,0,0,2,1
1,19,inferential,"[0, 1, 0]",9.964473565718272,C,D,0,0,0,0,0,2,2
2,0,literal,"[1, 0, 0]",8.281581293595435,D,D,1,0,0,0,0,0,0
2,1,inferential,"[0, 1, 0]",8.930296569606336,C,B,0,1,0,0,0,0,0
2,2,inferential,"[0, 1, 0]",9.418657000508436,B,B,1,0,0,0,1,0,0
2,3,inferential,"[0, 1, 0]",8.986986090029994,A,C,0,0,0,1,1,0,0
2,4,inferential,"[0, 1, 0]",9.014710410853871,A,A,1,0,0,1,2,0,0
2,5,inferential,"[0, 1, 0]",9.40224051539958,D,A,0,0,0,2,2,0,0
2,6,literal,"[1, 0, 0]",8.599516274509805,C,B,0,0,0,2,3,0,0
2,7,critical,"[0, 0, 1]",9.381757705161776,D,D,1,0,1,0,0,0,0
2,8,inferential,"[0, 1, 0]",9.49525004529942,A,B,0,0,0,0,0,1,0
2,9,literal,"[1, 0, 0]",8.431689417989418,C,A,0,0,0,0,1,0,0
2,10,literal,"[1, 0, 0]",8.431689417989418,A,C,0,0,1,0,0,0,0
2,11,critical,"[0, 0, 1]",9.683797540643393,A,C,0,0,2,0,0,0,0
2,12,inferential,"[0, 1, 0]",9.617674180239577,C,D,0,0,0,0,0,0,1
2,13,literal,"[1, 0, 0]",9.809334489693313,D,A,0,0,0,0,1,0,0
2,14,literal,"[1, 0, 0]",9.809334489693313,A,B,0,0,1,0,0,0,0
2,15,critical,"[0, 0, 1]",10.601314473197025,A,B,0,0,2,0,0,0,0
2,16,critical,"[0, 0, 1]",9.534300459978933,C,C,1,0,0,0,0,0,1
2,17,critical,"[0, 0, 1]",9.476997295932037,A,C,0,0,0,0,0,1,1
2,18,critical,"[0, 0, 1]",9.817301953532693,B,B,1,0,0,0,0,1,2
2,19,inferential,"[0, 1, 0]",9.964473565718272,D,D,1,0,0,0,0,2,2
3,0,literal,"[1, 0, 0]",8.281581293595435,B,D,0,0,0,0,0,0,0
3,1,inferential,"[0, 1, 0]",8.930296569606336,B,B,1,0,1,0,0,0,0
3,2,inferential,"[0, 1, 0]",9.418657000508436,D,B,0,0,0,1,0,0,0
3,3,inferential,"[0, 1, 0]",8.986986090029994,A,C,0,0,0,1,1,0,0
3,4,inferential,"[0, 1, 0]",9.014710410853871,B,A,0,0,0,1,2,0,0
3,5,inferential,"[0, 1, 0]",9.40224051539958,B,A,0,0,0,1,3,0,0
3,6,literal,"[1, 0, 0]",8.599516274509805,B,B,1,0,0,1,4,0,0
3,7,critical,"[0, 0, 1]",9.381757705161776,B,D,0,1,0,0,0,0,0
3,8,inferential,"[0, 1, 0]",9.49525004529942,C,B,0,0,0,0,0,0,1
3,9,literal,"[1, 0, 0]",8.431689417989418,A,A,1,0,0,0,1,0,0
3,10,literal,"[1, 0, 0]",8.431689417989418,A,C,0,1,0,0,0,0,0
3,11,critical,"[0, 0, 1]",9.683797540643393,C,C,1,1,1,0,0,0,0
3,12,inferential,"[0, 1, 0]",9.617674180239577,C,D,0,0,0,0,0,1,0
3,13,literal,"[1, 0, 0]",9.809334489693313,A,A,1,0,0,0,1,0,0
3,14,literal,"[1, 0, 0]",9.809334489693313,B,B,1,1,0,0,0,0,0
3,15,critical,"[0, 0, 1]",10.601314473197025,A,B,0,2,0,0,0,0,0
3,16,critical,"[0, 0, 1]",9.534300459978933,D,C,0,0,0,0,0,0,1
3,17,critical,"[0, 0, 1]",9.476997295932037,B,C,0,0,0,0,0,0,2
3,18,critical,"[0, 0, 1]",9.817301953532693,A,B,0,0,0,0,0,0,3
3,19,inferential,"[0, 1, 0]",9.964473565718272,B,D,0,0,0,0,0,0,4
4,0,literal,"[1, 0, 0]",8.281581293595435,A,D,0,0,0,0,0,0,0
4,1,inferential,"[0, 1, 0]",8.930296569606336,B,B,1,0,1,0,0,0,0
